,GeneName,up1.5,up2,up5,up10,dn1.5,dn2,dn5,dn10,all,unchange1.5,unchange2,unchange5,unchange10,HN1.5,HN2,HN5,HN10
11716,Mt4,29,26,21,11,23,18,8,4,242,190,198,213,227,6,8,13,7
18980,Tceal5,45,37,22,10,35,31,9,3,242,162,174,211,229,10,6,13,7
6777,Gm11032,59,48,34,29,51,38,21,14,242,132,156,187,199,8,10,13,15
6153,Fosb,102,70,21,6,49,34,8,6,242,91,138,213,230,53,36,13,0
1309,Apoa1,68,54,21,11,56,36,8,2,242,118,152,213,229,12,18,13,9
8517,Hba-a2,57,47,28,15,48,38,15,9,242,137,157,199,218,9,9,13,6
9071,Igha,50,45,18,9,41,32,5,2,242,151,165,219,231,9,13,13,7
9066,Igfbp7,67,52,16,4,28,16,3,1,242,147,174,223,237,39,36,13,3
4961,Dusp8,90,70,19,7,37,16,6,2,242,115,156,217,233,53,54,13,5
578,Acbd7,53,45,24,11,44,30,11,8,242,145,167,207,223,9,15,13,3
6359,Gabrr2,99,69,17,3,39,23,4,2,242,104,150,221,237,60,46,13,1
10092,Klrb1b,34,26,14,5,32,19,1,0,242,176,197,227,237,2,7,13,5
19727,Tnfsf9,99,69,18,5,51,23,5,4,242,92,150,219,233,48,46,13,1
812,Adig,69,58,30,11,46,33,17,5,242,127,151,195,226,23,25,13,6
10151,Krt20,83,50,13,8,24,10,0,0,242,135,182,229,234,59,40,13,8
6210,Fpr2,61,53,26,15,41,30,13,4,242,140,159,203,223,20,23,13,11
8871,Hspa4l,105,75,16,5,24,15,3,0,242,113,152,223,237,81,60,13,5
414,A730049H05Rik,55,46,18,9,42,24,5,0,242,145,172,219,233,13,22,13,9
3669,Col6a3,66,44,15,10,32,19,2,0,242,144,179,225,232,34,25,13,10
6027,Fgf8,69,58,16,8,37,28,3,0,242,136,156,223,234,32,30,13,8
4465,Defa3,22,19,17,15,5,4,4,4,242,215,219,221,223,17,15,13,11
11555,Mroh6,81,54,13,2,28,17,0,0,242,133,171,229,240,53,37,13,2
18225,Sphk1,77,61,22,7,67,42,9,2,242,98,139,211,233,10,19,13,5
2714,Ccl21a,46,39,15,8,18,14,2,0,242,178,189,225,234,28,25,13,8
2855,Cd3e,60,50,14,7,32,21,1,0,242,150,171,227,235,28,29,13,7
2776,Ccr5,83,64,27,13,52,38,14,9,242,107,140,201,220,31,26,13,4
8037,Gpnmb,87,59,19,7,49,22,6,1,242,106,161,217,234,38,37,13,6
4026,Ctrb1,62,57,21,9,34,32,8,2,242,146,153,213,231,28,25,13,7
15063,Potegl,68,47,14,3,49,34,1,0,242,125,161,227,239,19,13,13,3
7269,Gm28053,36,34,26,18,29,22,13,8,242,177,186,203,216,7,12,13,10
4250,Cysrt1,75,62,27,15,51,32,14,1,242,116,148,201,226,24,30,13,14
8233,Gsta2,59,53,19,6,43,30,6,0,242,140,159,217,236,16,23,13,6
8447,H3c2,76,61,34,21,56,40,21,12,242,110,141,187,209,20,21,13,9
4042,Ctsk,84,64,22,8,49,28,9,4,242,109,150,211,230,35,36,13,4
7369,Gm3285,20,19,13,6,0,0,0,0,242,222,223,229,236,20,19,13,6
14771,Pla2g12b,56,49,16,8,20,17,3,0,242,166,176,223,234,36,32,13,8
19032,Tdgf1,48,39,16,9,45,28,4,2,242,149,175,222,231,3,11,12,7
21390,Wfdc10,34,28,17,6,10,7,5,3,242,198,207,220,233,24,21,12,3
12825,Olfr1033,69,45,22,14,53,32,10,7,242,120,165,210,221,16,13,12,7
18751,Sytl1,77,56,14,2,43,19,2,0,242,122,167,226,240,34,37,12,2
15472,Prrg4,77,61,21,10,50,24,9,3,242,115,157,212,229,27,37,12,7
16641,Rragd,62,43,14,7,42,17,2,0,242,138,182,226,235,20,26,12,7
6473,Gcg,31,25,17,12,21,16,5,3,242,190,201,220,227,10,9,12,9
19506,Tmem200b,71,55,18,10,41,24,6,2,242,130,163,218,230,30,31,12,8
8959,Idi2,57,38,14,1,45,24,2,0,242,140,180,226,241,12,14,12,1
15380,Prm1,38,31,28,12,29,26,16,5,242,175,185,198,225,9,5,12,7
16142,Ren1,49,42,17,10,58,40,5,2,242,135,160,220,230,-9,2,12,8
1356,Aqp5,78,56,24,8,54,42,12,4,242,110,144,206,230,24,14,12,4
8792,Hpn,55,35,12,2,40,22,0,0,242,147,185,230,240,15,13,12,2
1337,Apol9a,84,67,24,8,46,34,12,3,242,112,141,206,231,38,33,12,5
14434,Pdk4,79,52,15,9,45,26,3,1,242,118,164,224,232,34,26,12,8
13995,Orm1,49,47,22,9,39,37,10,3,242,154,158,210,230,10,10,12,6
8787,Hpd,49,39,17,14,25,18,5,5,242,168,185,220,223,24,21,12,9
12830,Olfr1039,73,58,20,11,52,31,8,3,242,117,153,214,228,21,27,12,8
10918,Maob,58,46,14,2,28,19,2,1,242,156,177,226,239,30,27,12,1
11412,Mmp23,66,49,17,4,47,25,5,1,242,129,168,220,237,19,24,12,3
6607,Gjc2,78,40,12,6,48,27,0,0,242,116,175,230,236,30,13,12,6
16570,Rplp2-ps1,33,28,24,24,22,17,12,12,242,187,197,206,206,11,11,12,12
10806,Lyst,60,46,27,15,68,44,15,8,242,114,152,200,219,-8,2,12,7
10782,Lypd1,89,58,14,4,31,11,2,0,242,122,173,226,238,58,47,12,4
7200,Gm21854,45,43,17,7,39,32,5,4,242,158,167,220,231,6,11,12,3
7189,Gm21778,53,47,21,10,29,23,9,3,242,160,172,212,229,24,24,12,7
17181,Serping1,66,49,13,6,30,14,1,1,242,146,179,228,235,36,35,12,5
