human symbol,mouse symbol,human,mouse,Total,HSF1 average peak,HSF2 average peak,PPARGC1A average peak
ADI1,Adi1,3,-1,2,16.048544,0,0
ADIG,Adig,29,13,42,0,0,0
ADIPOQ,Adipoq,3,3,6,0,0,0
ADIPOR1,Adipor1,8,-2,6,5.048544,0,0
ADIPOR2,Adipor2,9,-1,8,7.359223,0,0
ADK,Adk,7,-4,3,45.145631,28.041667,0
ADM,Adm,11,4,15,6.223301,0,0
ADM2,Adm2,5,12,17,0,0,0
ADNP,Adnp,6,-7,-1,7.029126,0,0
ADNP2,Adnp2,7,-3,4,6.427184,0,0
ADO,Ado,2,3,5,26.436893,5.125,0
ADORA1,Adora1,-1,1,0,0,0,0
ADORA2A,Adora2a,57,17,74,0,0,0
ADORA2B,Adora2b,-2,5,3,6.737864,0,0
ADORA3,Adora3,8,-6,2,0,0,0
ADPGK,Adpgk,2,2,4,14.271845,0,0
ADPRH,Adprh,4,-6,-2,4.087379,0,0
ADPRHL1,Adprhl1,13,-11,2,1.407767,0,0
ADPRM,Adprm,-9,-8,-17,5.553398,0,0
ADPRS,Adprs,-20,1,-19,18.31068,0,0
ADRA1A,Adra1a,2,3,5,0,0,0
ADRA1B,Adra1b,10,-3,7,6.660194,0,0
ADRA1D,Adra1d,-1,-5,-6,0,0,0
ADRA2A,Adra2a,6,8,14,0,0,0
ADRA2B,Adra2b,26,5,31,1.126214,0,0
ADRA2C,Adra2c,12,-5,7,4.621359,0,0
ADRB1,Adrb1,5,1,6,0,0,0
ADRB2,Adrb2,9,-3,6,15.84466,0,0
ADRB3,Adrb3,0,-4,-4,0,0,0
ADRM1,Adrm1,4,-4,0,12.951456,0,0
ADSL,Adsl,1,0,1,3.951456,0,0
ADTRP,Adtrp,0,-8,-8,0,0,0
AEBP1,Aebp1,16,3,19,9.106796,0,0
AEBP2,Aebp2,5,-2,3,10.300971,0,0
AEN,Aen,-13,6,-7,2.699029,0,0
AFAP1,Afap1,-11,-3,-14,2.436893,0,0
AFAP1L1,Afap1l1,12,1,13,14.737864,0,0
AFAP1L2,Afap1l2,-4,2,-2,0,0,0
AFDN,Afdn,8,-4,4,0,0,0
AFF1,Aff1,13,3,16,17.601942,0,0
AFF2,Aff2,7,-3,4,0,0,0
AFF3,Aff3,5,1,6,9.941748,0,0
AFF4,Aff4,12,0,12,4.203883,0,0
AFG1L,Afg1l,2,-5,-3,4.660194,0,0
AFG3L2,Afg3l2,3,-4,-1,7.679612,0,0
AFM,Afm,4,-6,-2,0,0,0
AFMID,Afmid,6,-2,4,0,0,0
AFP,Afp,1,-9,-8,6.728155,0,0
AFTPH,Aftph,8,0,8,6.466019,3.5,0
AGA,Aga,-9,-7,-16,5.407767,0,0
AGAP1,Agap1,9,0,9,4.048544,0,0
AGAP2,Agap2,6,4,10,0,0,0
AGAP3,Agap3,3,0,3,2.223301,0,0
AGBL1,Agbl1,1,-2,-1,0,0,0
AGBL2,Agbl2,20,-7,13,3.679612,0,0
AGBL3,Agbl3,2,-8,-6,14.941748,0,0
AGBL4,Agbl4,0,-9,-9,0,0,0
AGBL5,Agbl5,8,-8,0,0,0,0
AGER,Ager,5,-9,-4,0,0,0
AGFG1,Agfg1,4,-1,3,6.427184,0,0
AGFG2,Agfg2,-18,1,-17,1.106796,0,0
AGGF1,Aggf1,6,1,7,0,0,0
AGK,Agk,-1,-7,-8,24.15534,0,0
AGL,Agl,1,-6,-5,9.242718,0,0
AGMAT,Agmat,4,1,5,0.728155,0,0
AGMO,Agmo,3,4,7,0,0,0
AGO1,Ago1,8,-4,4,8.174757,0,0
AGO2,Ago2,10,-3,7,7.281553,0,0
AGO3,Ago3,3,-6,-3,10.951456,0,0
AGO4,Ago4,-1,1,0,4.563107,0,0
AGPAT1,Agpat1,13,0,13,2.15534,0,0
AGPAT2,Agpat2,-7,-5,-12,4.427184,0,0
AGPAT3,Agpat3,7,-7,0,4.456311,0,0
AGPAT4,Agpat4,3,2,5,0,0,0
AGPAT5,Agpat5,1,-7,-6,15.786408,0,0
AGPS,Agps,5,-3,2,9.009709,0,0
AGR2,Agr2,6,2,8,0,0,0
AGR3,Agr3,14,-7,7,26.058252,0,0
AGRN,Agrn,3,-2,1,10.796117,0,0
AGRP,Agrp,3,1,4,13.524272,0,0
AGT,Agt,12,2,14,8.116505,0,0
AGTPBP1,Agtpbp1,5,-12,-7,7.92233,0,0
AGTR2,Agtr2,1,-2,-1,0,0,0
AGTRAP,Agtrap,1,-3,-2,101.68932,0,0
AGXT,Agxt,5,-1,4,0,0,0
AGXT2,Agxt2,4,5,9,0,0,0
AHCTF1,Ahctf1,6,-7,-1,50.135922,0,0
AHCY,Ahcy,9,-14,-5,16.533981,0,0
AHCYL1,Ahcyl1,8,-2,6,8.640777,0,0
AHCYL2,Ahcyl2,10,-2,8,8.776699,0,0
AHDC1,Ahdc1,6,3,9,2.174757,0,0
AHI1,Ahi1,3,-10,-7,80.262136,0,0
AHNAK,Ahnak,14,-3,11,2.475728,0,0
AHR,Ahr,0,2,2,4.349515,0,0
AHRR,Ahrr,-11,-7,-18,0.854369,0,0
AHSA1,Ahsa1,47,2,49,340.038835,184.5,0
AHSG,Ahsg,8,0,8,2.815534,0,0
AICDA,Aicda,1,-1,0,9.07767,0,0
AIDA,Aida,10,-4,6,7.368932,0,0
AIF1,Aif1,13,-6,7,9.087379,0,0
AIF1L,Aif1l,1,-1,0,1,0,0
AIFM1,Aifm1,4,0,4,1.038835,0,0
AIFM2,Aifm2,3,-11,-8,6.699029,0,0
AIFM3,Aifm3,6,-2,4,0,0,0
AIG1,Aig1,3,1,4,18.912621,0,0
AIM2,Aim2,-6,-10,-16,0.893204,0,0
AIMP1,Aimp1,1,-2,-1,0,0,0
AIMP2,Aimp2,1,-9,-8,10.252427,0,0
AIP,Aip,5,-1,4,0,0,0
AIPL1,Aipl1,-2,-5,-7,0,0,0
AIRE,Aire,5,-11,-6,0,0,0
AJAP1,Ajap1,-2,-2,-4,0,0,0
AJM1,Ajm1,10,6,16,29.543689,0,0
AJUBA,Ajuba,1,-2,-1,5.805825,0,0
AK1,Ak1,6,-4,2,3.495146,0,0
AK2,Ak2,5,-1,4,2.300971,0,0
AK3,Ak3,3,-2,1,5.019417,0,0
AK4,Ak4,7,1,8,3.553398,0,0
AK5,Ak5,16,-6,10,3.660194,0,0
AK6,Ak6,6,-6,0,12.135922,0,0
AK7,Ak7,2,4,6,7.699029,0,0
AK8,Ak8,-9,-2,-11,34.048544,0,0
AK9,Ak9,0,-5,-5,8.029126,0,0
AKAIN1,Akain1,7,2,9,0,0,0
AKAP1,Akap1,-5,-5,-10,13.582524,0,0
AKAP10,Akap10,5,-4,1,6.864078,0,0
AKAP11,Akap11,5,-5,0,9.048544,0,0
AKAP12,Akap12,9,5,14,2.417476,0,0
AKAP13,Akap13,5,4,9,9.786408,0,0
AKAP14,Akap14,34,-8,26,0,0,0
AKAP3,Akap3,4,-4,0,1.970874,0,0
AKAP4,Akap4,-2,1,-1,0,0,0
AKAP5,Akap5,3,-4,-1,6.737864,0,0
AKAP6,Akap6,7,-1,6,0,0,0
AKAP7,Akap7,-2,-10,-12,10.252427,0,0
AKAP8,Akap8,5,-1,4,8.864078,0,0
AKAP8L,Akap8l,11,-1,10,0,0,0
AKAP9,Akap9,6,-2,4,5.912621,0,0
AKIP1,Akip1,1,-3,-2,0,0,0
AKIRIN1,Akirin1,5,-3,2,20.941748,0,0
AKIRIN2,Akirin2,6,4,10,3.660194,0,0
AKNA,Akna,-4,-10,-14,15.300971,0,0
AKNAD1,Aknad1,1,-13,-12,0,0,0
AKR1A1,Akr1a1,5,-2,3,4.504854,0,0
AKR1B10,Akr1b10,4,4,8,1.320388,0,0
AKR1D1,Akr1d1,5,5,10,2.398058,0,0
AKT1,Akt1,13,-3,10,0.737864,0,0
AKT1S1,Akt1s1,6,1,7,2.203883,0,0
AKT2,Akt2,11,-1,10,2.970874,0,0
AKT3,Akt3,11,0,11,0,0,0
AKTIP,Aktip,9,-5,4,4.427184,0,0
ALAD,Alad,3,-5,-2,6.126214,0,0
ALAS1,Alas1,4,-7,-3,8.271845,0,0
ALAS2,Alas2,1,-1,0,0,0,0
ALB,Alb,3,6,9,0,0,0
ALCAM,Alcam,5,5,10,7.553398,0,0
ALDH16A1,Aldh16a1,2,-5,-3,0,0,0
ALDH18A1,Aldh18a1,7,1,8,3.242718,0,0
ALDH1A1,Aldh1a1,2,6,8,0,0,0
ALDH1A2,Aldh1a2,5,6,11,35.825243,30.083333,0
ALDH1A3,Aldh1a3,2,8,10,4.747573,0,0
ALDH1B1,Aldh1b1,-18,-3,-21,0.61165,0,0
ALDH1L1,Aldh1l1,9,1,10,1.281553,0,0
ALDH1L2,Aldh1l2,2,0,2,0,0,0
ALDH2,Aldh2,7,0,7,4.854369,0,0
ALDH3A1,Aldh3a1,16,-1,15,4.495146,0,0
ALDH3A2,Aldh3a2,6,-2,4,3.446602,0,0
ALDH3B1,Aldh3b1,7,-4,3,114.864078,25.375,0
ALDH3B2,Aldh3b2,-2,8,6,2.757282,0,0
ALDH4A1,Aldh4a1,0,1,1,2.941748,0,0
ALDH5A1,Aldh5a1,6,5,11,6.990291,0,0
ALDH6A1,Aldh6a1,3,-5,-2,0.68932,0,0
ALDH7A1,Aldh7a1,9,-5,4,2.427184,0,0
ALDH8A1,Aldh8a1,57,6,63,0,0,0
