GeneName,RNA-seq-up,RNA-seq-down,RNA-seq-all,miRNA-seq-up,miRNA-seq-down,miRNA-seq-all,ncRNA-seq-up,ncRNA-seq-down,ncRNA-seq-all,unchange_RNA-seq,HN5_RNA-seq,unchange_miRNA-seq,HN5_miRNA-seq,unchange_ncRNA-seq,HN5_ncRNA-seq,PRO-seq-up,PRO-seq-down,PRO-seq-all,unchange_PRO-seq,HN5_PRO-seq,Timelapse-seq-up,Timelapse-seq-down,Timelapse-seq-all,unchange_Timelapse-seq,HN5_Timelapse-seq,Ribo-seq-up,Ribo-seq-down,Ribo-seq-all,unchange_Ribo-seq,HN5_Ribo-seq,all(check),Total_HN-score
Gm3278,3,8,169,0,0,9,0,0,2,158,-5,9,0,2,0,0,0,34,34,0,0,0,8,8,0,0,0,20,20,0,242,-5
Smarce1,2,0,169,0,0,9,0,0,2,167,2,9,0,2,0,0,8,34,26,-8,0,0,8,8,0,1,0,20,19,1,242,-5
Dnajc7,2,0,169,0,0,9,0,0,2,167,2,9,0,2,0,0,6,34,28,-6,0,0,8,8,0,0,1,20,19,-1,242,-5
Gm3269,0,5,169,0,0,9,0,0,2,164,-5,9,0,2,0,0,0,34,34,0,0,0,8,8,0,0,0,20,20,0,242,-5
Ctcfl,2,0,169,0,0,9,0,0,2,167,2,9,0,2,0,1,11,34,22,-10,1,0,8,7,1,3,1,20,16,2,242,-5
Dnph1,3,1,169,0,0,9,0,0,2,165,2,9,0,2,0,0,7,34,27,-7,0,0,8,8,0,0,0,20,20,0,242,-5
Ctcf,2,0,169,0,0,9,0,0,2,167,2,9,0,2,0,0,6,34,28,-6,0,0,8,8,0,0,1,20,19,-1,242,-5
Smarca5,2,0,169,0,0,9,0,0,2,167,2,9,0,2,0,0,6,34,28,-6,0,0,8,8,0,0,1,20,19,-1,242,-5
Tmem40,5,10,169,0,0,9,0,0,2,154,-5,9,0,2,0,1,1,34,32,0,0,0,8,8,0,0,0,20,20,0,242,-5
Smad6,2,8,169,0,0,9,0,0,2,159,-6,9,0,2,0,1,0,34,33,1,0,0,8,8,0,0,0,20,20,0,242,-5
Spns2,2,5,169,0,0,9,0,0,2,162,-3,9,0,2,0,2,4,34,28,-2,0,0,8,8,0,0,0,20,20,0,242,-5
Spo11,1,6,169,0,0,9,0,0,2,162,-5,9,0,2,0,0,0,34,34,0,0,0,8,8,0,0,0,20,20,0,242,-5
Csrp3,8,11,169,0,0,9,0,0,2,150,-3,9,0,2,0,2,4,34,28,-2,0,0,8,8,0,0,0,20,20,0,242,-5
Sly,7,12,169,0,0,9,0,0,2,150,-5,9,0,2,0,0,0,34,34,0,0,0,8,8,0,0,0,20,20,0,242,-5
Spsb4,2,2,169,0,0,9,0,0,2,165,0,9,0,2,0,0,6,34,28,-6,1,0,8,7,1,0,0,20,20,0,242,-5
Got1l1,7,13,169,0,0,9,0,0,2,149,-6,9,0,2,0,4,3,34,27,1,0,0,8,8,0,0,0,20,20,0,242,-5
Cpsf6,3,1,169,0,0,9,0,0,2,165,2,9,0,2,0,0,8,34,26,-8,0,0,8,8,0,1,0,20,19,1,242,-5
Gpr26,0,1,169,0,0,9,0,0,2,168,-1,9,0,2,0,0,4,34,30,-4,0,0,8,8,0,0,0,20,20,0,242,-5
Gpr37,1,2,169,0,0,9,0,0,2,166,-1,9,0,2,0,0,4,34,30,-4,0,0,8,8,0,0,0,20,20,0,242,-5
Dync1li2,2,0,169,0,0,9,0,0,2,167,2,9,0,2,0,0,6,34,28,-6,0,0,8,8,0,0,1,20,19,-1,242,-5
Slc4a5,1,0,169,0,0,9,0,0,2,168,1,9,0,2,0,0,6,34,28,-6,0,0,8,8,0,0,0,20,20,0,242,-5
Srgap2,2,0,169,0,0,9,0,1,2,167,2,9,0,1,-1,0,5,34,29,-5,0,0,8,8,0,0,1,20,19,-1,242,-5
Gpx2,4,5,169,0,0,9,0,0,2,160,-1,9,0,2,0,1,5,34,28,-4,0,0,8,8,0,0,0,20,20,0,242,-5
Slc46a2,1,2,169,0,0,9,0,0,2,166,-1,9,0,2,0,0,4,34,30,-4,0,0,8,8,0,0,0,20,20,0,242,-5
Tmem192,2,1,169,0,0,9,0,0,2,166,1,9,0,2,0,0,4,34,30,-4,0,0,8,8,0,0,2,20,18,-2,242,-5
Grap,4,3,169,0,0,9,0,0,2,162,1,9,0,2,0,0,4,34,30,-4,0,0,8,8,0,0,2,20,18,-2,242,-5
Dynlt1c,0,2,169,0,0,9,1,0,2,167,-2,9,0,1,1,0,5,34,29,-5,1,0,8,7,1,0,0,20,20,0,242,-5
Dynlt2a1,24,25,169,0,1,9,0,1,2,120,-1,8,-1,1,-1,2,8,34,24,-6,4,0,8,4,4,0,0,20,20,0,242,-5
Col22a1,5,8,169,0,0,9,0,0,2,156,-3,9,0,2,0,0,2,34,32,-2,0,0,8,8,0,0,0,20,20,0,242,-5
Gm21761,4,5,169,0,0,9,0,0,2,160,-1,9,0,2,0,0,4,34,30,-4,0,0,8,8,0,0,0,20,20,0,242,-5
E030030I06Rik,5,4,169,0,1,9,0,0,2,160,1,8,-1,2,0,0,5,34,29,-5,0,0,8,8,0,0,0,20,20,0,242,-5
Trerf1,0,3,169,0,0,9,0,0,2,166,-3,9,0,2,0,0,2,34,32,-2,0,0,8,8,0,0,0,20,20,0,242,-5
Col19a1,3,8,169,0,0,9,0,0,2,158,-5,9,0,2,0,0,0,34,34,0,0,0,8,8,0,0,0,20,20,0,242,-5
E130116L18Rik,21,19,169,0,0,9,0,0,2,129,2,9,0,2,0,0,6,34,28,-6,0,1,8,7,-1,0,0,20,20,0,242,-5
E130218I03Rik,8,9,169,0,0,9,0,0,2,152,-1,9,0,2,0,1,5,34,28,-4,0,0,8,8,0,0,0,20,20,0,242,-5
Grip2,2,1,169,0,0,9,0,0,2,166,1,9,0,2,0,0,7,34,27,-7,0,0,8,8,0,2,1,20,17,1,242,-5
Slc3a1,6,7,169,0,0,9,0,0,2,156,-1,9,0,2,0,1,5,34,28,-4,0,0,8,8,0,0,0,20,20,0,242,-5
Gm21650,0,5,169,0,0,9,0,0,2,164,-5,9,0,2,0,0,0,34,34,0,0,0,8,8,0,0,0,20,20,0,242,-5
Col10a1,2,0,169,0,0,9,0,0,2,167,2,9,0,2,0,0,7,34,27,-7,0,0,8,8,0,0,0,20,20,0,242,-5
Grm5,0,5,169,0,0,9,0,0,2,164,-5,9,0,2,0,0,0,34,34,0,0,0,8,8,0,0,0,20,20,0,242,-5
Grxcr1,0,5,169,0,0,9,0,0,2,164,-5,9,0,2,0,0,0,34,34,0,0,0,8,8,0,0,0,20,20,0,242,-5
Slc39a14,3,1,169,0,0,9,0,0,2,165,2,9,0,2,0,0,7,34,27,-7,0,0,8,8,0,0,0,20,20,0,242,-5
Cog4,2,0,169,0,0,9,0,0,2,167,2,9,0,2,0,0,8,34,26,-8,0,0,8,8,0,1,0,20,19,1,242,-5
Dync1i2,2,0,169,0,0,9,0,0,2,167,2,9,0,2,0,0,6,34,28,-6,0,0,8,8,0,0,1,20,19,-1,242,-5
