GeneName,RNA-seq-up,RNA-seq-down,RNA-seq-all,SLAM-seq-up,SLAM-seq-down,SLAM-seq-all,TTchem-seq-up,TTchem-seq-down,TTchem-seq-all,TT-seq-up,TT-seq-down,TT-seq-all,4sU-seq-up,4sU-seq-down,4sU-seq-all,MeRIP-seq-up,MeRIP-seq-down,MeRIP-seq-all,m1A-seq-up,m1A-seq-down,m1A-seq-all,Ribo-seq-up,Ribo-seq-down,Ribo-seq-all,m6Am-seq-up,m6Am-seq-down,m6Am-seq-all,mNET-seq-up,mNET-seq-down,mNET-seq-all,PRO-seq-up,PRO-seq-down,PRO-seq-all,all(check),all,unchange_RNA-seq,HN5_RNA-seq,unchange_SLAM-seq,HN5_SLAM-seq,unchange_TTchem-seq,HN5_TTchem-seq,unchange_TT-seq,HN5_TT-seq,unchange_4sU-seq,HN5_4sU-seq,unchange_MeRIP-seq,HN5_MeRIP-seq,unchange_m1A-seq,HN5_m1A-seq,unchange_Ribo-seq,HN5_Ribo-seq,unchange_m6Am-seq,HN5_m6Am-seq,unchange_mNET-seq,HN5_mNET-seq,unchange_PRO-seq,HN5_PRO-seq,Total_HN-score
HSPB2,62,4,192,0,0,11,3,0,34,1,2,8,6,0,31,3,0,3,1,0,2,0,0,6,0,0,7,1,0,4,3,1,24,322,322,126,58,11,0,31,3,5,-1,25,6,0,3,1,1,6,0,7,0,3,1,20,2,73
FZD8,41,1,192,0,1,11,21,0,34,0,0,8,10,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,2,0,24,322,322,150,40,10,-1,13,21,8,0,21,10,3,0,1,1,6,0,7,0,4,0,22,2,73
IGLV1-50,67,12,192,0,0,11,10,6,34,0,0,8,12,2,31,2,1,3,0,0,2,0,0,6,0,0,7,2,0,4,2,2,24,322,322,113,55,11,0,18,4,8,0,17,10,0,1,2,0,6,0,7,0,2,2,20,0,72
SERPINC1,40,1,192,0,0,11,6,0,34,4,0,8,21,0,31,1,0,3,0,0,2,0,0,6,0,0,7,0,0,4,1,0,24,322,322,151,39,11,0,28,6,4,4,10,21,2,1,2,0,6,0,7,0,4,0,23,1,72
C11orf96,49,1,192,2,1,11,11,0,34,0,0,8,11,0,31,2,0,3,0,0,2,0,0,6,0,1,7,0,0,4,0,0,24,322,322,142,48,8,1,23,11,8,0,20,11,1,2,2,0,6,0,6,-1,4,0,24,0,72
CFAP53,26,0,192,0,1,11,15,0,34,4,0,8,23,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,4,0,24,322,322,166,26,10,-1,19,15,4,4,8,23,3,0,1,1,6,0,7,0,4,0,20,4,72
TMPRSS9,54,1,192,0,0,11,3,2,34,0,0,8,16,0,31,1,0,3,1,0,2,0,0,6,0,0,7,0,0,4,0,0,24,322,322,137,53,11,0,29,1,8,0,15,16,2,1,1,1,6,0,7,0,4,0,24,0,72
H1-6,40,3,192,0,0,11,11,1,34,0,0,8,17,0,31,1,0,3,1,0,2,0,0,6,2,0,7,0,0,4,4,0,24,322,322,149,37,11,0,22,10,8,0,14,17,2,1,1,1,6,0,5,2,4,0,20,4,72
GAL3ST1,50,6,192,0,1,11,7,0,34,0,0,8,21,0,31,1,0,3,0,0,2,0,0,6,0,0,7,0,0,4,2,2,24,322,322,136,44,10,-1,27,7,8,0,10,21,2,1,2,0,6,0,7,0,4,0,20,0,72
ARC,49,0,192,3,1,11,3,0,34,0,0,8,15,0,31,0,0,3,1,0,2,0,0,6,0,0,7,0,0,4,1,0,24,322,322,143,49,7,2,31,3,8,0,16,15,3,0,1,1,6,0,7,0,4,0,23,1,71
CDRT1,32,3,192,0,0,11,15,0,34,0,0,8,25,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,2,0,24,322,322,157,29,11,0,19,15,8,0,6,25,3,0,2,0,6,0,7,0,4,0,22,2,71
IFI35,44,1,192,2,0,11,15,0,34,0,0,8,9,0,31,0,0,3,0,0,2,0,0,6,0,0,7,0,0,4,2,0,24,322,322,147,43,9,2,19,15,8,0,22,9,3,0,2,0,6,0,7,0,4,0,22,2,71
